insured name,insured address,country of incorporation,business_description,risk_type,broker _contact,class_of_business,submission_date,claims_frequency,Largest_single_loss,incurred_Loss,Ultimate_Premium,Loss_Ratio,TIV
Trinity Industries Ltd,"174 Business Park, City_105, UK",United States,Food Processing,Energy Offshore,WTW London,Financial Lines,20-03-2026,1,1280638,2513357,9192968,0.2734,780017806
Northbridge Group PLC,"173 Business Park, City_62, UK",United States,Financial Advisory,Professional Indemnity,BMS Group,Marine,10-02-2026,0,621913,1193786,5289261,0.2257,917665296
Highland Industries Ltd,"126 Business Park, City_5, UK",Germany,Electronics Manufacturing,General Liability,Howden UK,Energy,26-02-2026,1,329927,1861054,7301117,0.2549,551724119
Northbridge Foods Ltd,"96 Business Park, City_151, UK",Germany,Financial Advisory,General Liability,WTW London,Marine,23-03-2026,5,454735,573920,2603997,0.2204,270223406
Summit Technologies Ltd,"157 Business Park, City_175, UK",United Kingdom,Electronics Manufacturing,Marine Hull,Aon UK Ltd,Casualty,05-02-2026,1,884569,2910984,5806871,0.5013,1059928503
Northbridge Technologies Ltd,"97 Business Park, City_71, UK",Netherlands,Construction Contractor,Marine Hull,Gallagher London,Products Liability,23-01-2026,6,322264,1543700,9488016,0.1627,1159934468
BlueWave Engineering Ltd,"110 Business Park, City_152, UK",Netherlands,Retail & Distribution,Professional Indemnity,BMS Group,Products Liability,16-03-2026,2,105321,436131,8705225,0.0501,1261341375
Everest Foods Ltd,"113 Business Park, City_74, UK",Netherlands,Construction Contractor,Energy Offshore,Gallagher London,Marine,19-01-2026,6,3314890,6684092,9374604,0.713,690266471
Trinity Foods Ltd,"196 Business Park, City_138, UK",Netherlands,Oil & Gas Services,Industrial All Risks,Aon UK Ltd,Property Damage & BI,19-01-2026,3,3155645,5462633,5750746,0.9499,856368608
Summit Group PLC,"183 Business Park, City_73, UK",Singapore,Manufacturing,Products Liability,Marsh Ltd,Products Liability,26-01-2026,1,2701091,10697835,13492036,0.7929,1427359567
BlueWave Logistics Ltd,"153 Business Park, City_111, UK",France,Food Processing,General Liability,Howden UK,Marine,08-02-2026,6,1871506,4682463,4928390,0.9501,724264157
Silverstone Technologies Ltd,"80 Business Park, City_180, UK",United Kingdom,Marine Shipping,Industrial All Risks,WTW London,Energy,31-01-2026,1,1579709,1970663,5740355,0.3433,808176018
Ironclad Group PLC,"142 Business Park, City_116, UK",Netherlands,Manufacturing,Energy Offshore,Marsh Ltd,Energy,31-03-2026,0,6091424,10091303,11905738,0.8476,1188599956
Harbour Engineering Ltd,"77 Business Park, City_66, UK",Netherlands,Construction Contractor,General Liability,Howden UK,Marine,30-01-2026,5,338935,815550,4817189,0.1693,1024134913
Crown Technologies Ltd,"44 Business Park, City_2, UK",Netherlands,Food Processing,Marine Hull,BMS Group,Casualty,14-02-2026,6,2409420,4980388,14730518,0.3381,21456794
Harbour Capital Partners Ltd,"234 Business Park, City_65, UK",Netherlands,Marine Shipping,General Liability,Gallagher London,Casualty,08-03-2026,3,233341,626534,4526983,0.1384,311036938
Harbour Industries Ltd,"230 Business Park, City_9, UK",United States,Oil & Gas Services,Products Liability,BMS Group,Property Damage & BI,14-02-2026,4,50105,711911,1032654,0.6894,228209546
Harbour Industries Ltd,"57 Business Park, City_147, UK",United States,Construction Contractor,Marine Hull,Aon UK Ltd,Energy,03-03-2026,2,4292599,5263116,8268839,0.6365,606995913
Atlantic Foods Ltd,"128 Business Park, City_57, UK",France,Marine Shipping,General Liability,Howden UK,Energy,01-03-2026,0,24230,62838,266379,0.2359,371064388
Sterling Group PLC,"53 Business Park, City_162, UK",Singapore,Manufacturing,Marine Hull,WTW London,Casualty,10-02-2026,1,5982765,9775739,9973209,0.9802,1219907747
Crown Capital Partners Ltd,"90 Business Park, City_159, UK",Germany,Electronics Manufacturing,Marine Hull,Gallagher London,Marine,20-01-2026,0,654891,3609113,13859883,0.2604,563547224
Atlantic Holdings Ltd,"104 Business Park, City_114, UK",Germany,Retail & Distribution,General Liability,Gallagher London,Financial Lines,11-03-2026,2,912440,5673844,8239681,0.6886,320354882
Sterling Capital Partners Ltd,"200 Business Park, City_30, UK",United States,Electronics Manufacturing,Industrial All Risks,Aon UK Ltd,Energy,12-01-2026,0,732957,2388513,4864590,0.491,158901909
Highland Foods Ltd,"192 Business Park, City_40, UK",France,Oil & Gas Services,Marine Hull,Gallagher London,Casualty,06-03-2026,4,2427384,10479072,12757576,0.8214,1029587326
Crown Foods Ltd,"173 Business Park, City_63, UK",Netherlands,Electronics Manufacturing,Industrial All Risks,Gallagher London,Products Liability,08-02-2026,6,2497414,3619948,13722323,0.2638,505670634
Northbridge Foods Ltd,"215 Business Park, City_20, UK",United States,Food Processing,General Liability,BMS Group,Marine,18-02-2026,5,419289,759052,3317537,0.2288,132459691
Greenfield Shipping Ltd,"28 Business Park, City_26, UK",United States,Financial Advisory,Products Liability,WTW London,Property Damage & BI,18-01-2026,6,4329034,9376872,12308838,0.7618,933702538
Highland Holdings Ltd,"113 Business Park, City_179, UK",Singapore,Construction Contractor,General Liability,Aon UK Ltd,Casualty,07-01-2026,1,1586697,1603463,2955149,0.5426,186719512
Ironclad Industries Ltd,"73 Business Park, City_124, UK",United Kingdom,Electronics Manufacturing,Industrial All Risks,BMS Group,Financial Lines,27-02-2026,5,5195441,8361537,9241310,0.9048,96375311
Oakridge Group PLC,"145 Business Park, City_129, UK",United States,Construction Contractor,Marine Hull,Lockton Companies,Financial Lines,14-01-2026,3,198200,642853,714997,0.8991,751857179
Highland Capital Partners Ltd,"34 Business Park, City_184, UK",United Kingdom,Retail & Distribution,Industrial All Risks,BMS Group,Casualty,11-02-2026,0,10307372,13453098,14562783,0.9238,901093832
Silverstone Technologies Ltd,"158 Business Park, City_92, UK",Netherlands,Marine Shipping,Marine Hull,BMS Group,Financial Lines,22-02-2026,2,1018192,9439932,12806854,0.7371,65066292
BlueWave Foods Ltd,"184 Business Park, City_108, UK",Germany,Marine Shipping,Professional Indemnity,WTW London,Energy,05-01-2026,1,780222,1410780,13513221,0.1044,794013409
Northbridge Foods Ltd,"28 Business Park, City_171, UK",Netherlands,Manufacturing,Marine Hull,Howden UK,Energy,18-01-2026,1,973934,1709153,4477741,0.3817,246979060
Harbour Foods Ltd,"120 Business Park, City_172, UK",United States,Marine Shipping,General Liability,BMS Group,Casualty,13-02-2026,4,2625902,5311340,11675843,0.4549,391667186
Atlantic Capital Partners Ltd,"60 Business Park, City_109, UK",United States,Electronics Manufacturing,Energy Offshore,Marsh Ltd,Financial Lines,24-02-2026,0,4875466,12848850,14548064,0.8832,1384221170
Crown Engineering Ltd,"2 Business Park, City_1, UK",United States,Electronics Manufacturing,Energy Offshore,Gallagher London,Property Damage & BI,08-01-2026,1,694056,2311855,2369918,0.9755,845872789
Sterling Holdings Ltd,"241 Business Park, City_197, UK",United Kingdom,Financial Advisory,General Liability,WTW London,Energy,02-03-2026,3,1646463,3744811,8937497,0.419,487782067
Northbridge Energy Services Ltd,"139 Business Park, City_15, UK",Singapore,Retail & Distribution,Industrial All Risks,BMS Group,Property Damage & BI,02-03-2026,5,404924,1225149,9549097,0.1283,137262205
Harbour Foods Ltd,"215 Business Park, City_108, UK",Germany,Financial Advisory,Professional Indemnity,Aon UK Ltd,Casualty,10-01-2026,4,85986,2077791,8422341,0.2467,1113937740
Oakridge Engineering Ltd,"75 Business Park, City_42, UK",Singapore,Electronics Manufacturing,Marine Hull,Howden UK,Marine,03-01-2026,0,3860046,5599137,6080731,0.9208,871589618
Redwood Logistics Ltd,"51 Business Park, City_13, UK",Singapore,Food Processing,Industrial All Risks,Howden UK,Marine,01-03-2026,3,70892,2676490,8575747,0.3121,877081599
Everest Holdings Ltd,"27 Business Park, City_86, UK",United States,Construction Contractor,Marine Hull,Howden UK,Energy,26-03-2026,4,25783,685400,4916791,0.1394,268099391
Oakridge Holdings Ltd,"141 Business Park, City_83, UK",Germany,Oil & Gas Services,General Liability,Howden UK,Financial Lines,17-03-2026,1,2270243,2380837,3497117,0.6808,1323262657
Redwood Logistics Ltd,"247 Business Park, City_101, UK",Germany,Retail & Distribution,Professional Indemnity,WTW London,Property Damage & BI,27-01-2026,5,8206563,14809284,14904674,0.9936,884484955
Summit Energy Services Ltd,"19 Business Park, City_1, UK",France,Marine Shipping,Professional Indemnity,Howden UK,Property Damage & BI,31-03-2026,0,1104515,1332840,6745143,0.1976,1442954951
Summit Engineering Ltd,"24 Business Park, City_39, UK",Singapore,Oil & Gas Services,Products Liability,WTW London,Marine,04-01-2026,5,1074042,2945547,14389581,0.2047,53774134
Harbour Energy Services Ltd,"198 Business Park, City_171, UK",Netherlands,Construction Contractor,Energy Offshore,BMS Group,Energy,29-01-2026,2,206575,2196186,7557420,0.2906,704103049
Silverstone Industries Ltd,"158 Business Park, City_143, UK",Netherlands,Oil & Gas Services,General Liability,BMS Group,Casualty,08-03-2026,0,2780476,6190202,6536645,0.947,1390676208
Silverstone Industries Ltd,"42 Business Park, City_154, UK",United States,Electronics Manufacturing,Products Liability,Lockton Companies,Products Liability,04-02-2026,6,256875,1198810,3489987,0.3435,1163938148
Oakridge Foods Ltd,"75 Business Park, City_173, UK",France,Marine Shipping,Products Liability,WTW London,Products Liability,16-03-2026,6,1548535,6599465,8291827,0.7959,854641065
Northbridge Industries Ltd,"205 Business Park, City_152, UK",United States,Oil & Gas Services,General Liability,Gallagher London,Marine,02-02-2026,2,229762,1350059,2555479,0.5283,307337632
Oakridge Technologies Ltd,"116 Business Park, City_188, UK",United States,Marine Shipping,Marine Hull,Lockton Companies,Energy,22-01-2026,2,746033,936778,13517731,0.0693,157799502
Redwood Engineering Ltd,"204 Business Park, City_1, UK",France,Food Processing,Energy Offshore,Howden UK,Marine,04-03-2026,4,1938911,2196451,2723436,0.8065,1244252208
Harbour Foods Ltd,"236 Business Park, City_197, UK",Singapore,Manufacturing,Products Liability,Howden UK,Products Liability,25-02-2026,1,5132083,6046786,7199412,0.8399,733597662
Northbridge Holdings Ltd,"236 Business Park, City_48, UK",France,Marine Shipping,General Liability,Lockton Companies,Financial Lines,24-01-2026,5,3909993,4869420,8031372,0.6063,911354193
BlueWave Capital Partners Ltd,"10 Business Park, City_154, UK",Germany,Oil & Gas Services,Professional Indemnity,BMS Group,Marine,15-01-2026,6,235023,760598,11420400,0.0666,1340292094
Ironclad Engineering Ltd,"137 Business Park, City_120, UK",Netherlands,Food Processing,Products Liability,Lockton Companies,Products Liability,06-03-2026,0,3174293,3952947,4468627,0.8846,372206833
Silverstone Industries Ltd,"19 Business Park, City_112, UK",Netherlands,Food Processing,Energy Offshore,Lockton Companies,Marine,10-03-2026,2,2586497,2908918,4960638,0.5864,204509343
Redwood Logistics Ltd,"125 Business Park, City_89, UK",United States,Retail & Distribution,Energy Offshore,Marsh Ltd,Energy,09-03-2026,1,1205030,2824917,9332401,0.3027,711877843
Atlantic Industries Ltd,"231 Business Park, City_179, UK",United States,Marine Shipping,Marine Hull,Lockton Companies,Casualty,31-03-2026,3,275971,8496665,9804599,0.8666,195897021
Highland Group PLC,"213 Business Park, City_172, UK",France,Retail & Distribution,Professional Indemnity,Lockton Companies,Marine,17-02-2026,5,119414,1508027,5330603,0.2829,1078635998
Northbridge Logistics Ltd,"35 Business Park, City_142, UK",United States,Retail & Distribution,Professional Indemnity,Aon UK Ltd,Property Damage & BI,23-01-2026,3,1451801,2636653,5561386,0.4741,706503263
Silverstone Energy Services Ltd,"206 Business Park, City_144, UK",Singapore,Food Processing,Energy Offshore,Aon UK Ltd,Marine,31-01-2026,0,9251,279962,714555,0.3918,120601849
Everest Foods Ltd,"44 Business Park, City_80, UK",Netherlands,Financial Advisory,Products Liability,Aon UK Ltd,Property Damage & BI,22-02-2026,6,891139,13038183,13864508,0.9404,343136052
Summit Energy Services Ltd,"238 Business Park, City_197, UK",Singapore,Food Processing,Marine Hull,Marsh Ltd,Property Damage & BI,29-03-2026,3,1918030,3513503,4634617,0.7581,79149982
Silverstone Shipping Ltd,"31 Business Park, City_16, UK",France,Construction Contractor,Marine Hull,WTW London,Casualty,17-02-2026,4,4500495,5466239,11258989,0.4855,1193137236
Highland Capital Partners Ltd,"126 Business Park, City_133, UK",Netherlands,Retail & Distribution,General Liability,Lockton Companies,Property Damage & BI,07-03-2026,3,15160,133175,2527049,0.0527,1219322168
Everest Logistics Ltd,"222 Business Park, City_11, UK",United Kingdom,Manufacturing,Products Liability,Marsh Ltd,Products Liability,26-03-2026,6,1207616,1611231,11251615,0.1432,564558126
Crown Energy Services Ltd,"50 Business Park, City_56, UK",Germany,Construction Contractor,Energy Offshore,Howden UK,Products Liability,02-02-2026,2,273407,599679,2708578,0.2214,166085368
BlueWave Logistics Ltd,"149 Business Park, City_31, UK",United States,Retail & Distribution,Energy Offshore,Marsh Ltd,Energy,09-03-2026,4,525359,2482880,6613960,0.3754,1440491746
Crown Holdings Ltd,"172 Business Park, City_149, UK",Singapore,Financial Advisory,Industrial All Risks,Aon UK Ltd,Property Damage & BI,01-03-2026,4,102015,612440,6564212,0.0933,269595157
Silverstone Logistics Ltd,"1 Business Park, City_89, UK",Germany,Construction Contractor,Energy Offshore,Lockton Companies,Energy,23-02-2026,2,122359,1296253,2605011,0.4976,690491153
Trinity Engineering Ltd,"171 Business Park, City_113, UK",Singapore,Manufacturing,Products Liability,BMS Group,Financial Lines,22-01-2026,2,4180076,6755658,7954384,0.8493,878801425
Crown Energy Services Ltd,"48 Business Park, City_176, UK",Singapore,Retail & Distribution,Energy Offshore,WTW London,Casualty,15-01-2026,5,8027373,9067942,14047935,0.6455,460019949
Everest Shipping Ltd,"41 Business Park, City_124, UK",Singapore,Electronics Manufacturing,Products Liability,WTW London,Casualty,06-02-2026,5,495993,794133,852715,0.9313,1306097690
Trinity Logistics Ltd,"107 Business Park, City_140, UK",United States,Marine Shipping,General Liability,Aon UK Ltd,Energy,23-01-2026,3,2079899,3939990,11067389,0.356,504192055
BlueWave Shipping Ltd,"4 Business Park, City_37, UK",Singapore,Manufacturing,Marine Hull,Gallagher London,Products Liability,20-03-2026,5,1411499,11382950,12425445,0.9161,330016332
Greenfield Engineering Ltd,"74 Business Park, City_172, UK",Singapore,Electronics Manufacturing,Professional Indemnity,Aon UK Ltd,Marine,21-01-2026,3,1518583,2687474,4447989,0.6042,1491907311
Crown Industries Ltd,"245 Business Park, City_21, UK",Germany,Financial Advisory,Energy Offshore,Howden UK,Financial Lines,31-01-2026,6,145189,3892694,6992445,0.5567,298940037
Everest Energy Services Ltd,"26 Business Park, City_179, UK",Singapore,Retail & Distribution,Marine Hull,BMS Group,Products Liability,22-02-2026,3,529086,2707520,13564734,0.1996,666153362
Harbour Logistics Ltd,"153 Business Park, City_176, UK",Singapore,Marine Shipping,Professional Indemnity,Aon UK Ltd,Products Liability,02-03-2026,0,40738,58714,199573,0.2942,763871986
Atlantic Logistics Ltd,"109 Business Park, City_37, UK",Germany,Electronics Manufacturing,Industrial All Risks,WTW London,Financial Lines,06-01-2026,1,571087,4317761,8137507,0.5306,799756021
Trinity Holdings Ltd,"129 Business Park, City_52, UK",Netherlands,Food Processing,General Liability,Lockton Companies,Financial Lines,04-01-2026,4,369381,744696,934844,0.7966,623088583
Crown Technologies Ltd,"6 Business Park, City_160, UK",Germany,Food Processing,Professional Indemnity,Howden UK,Products Liability,21-01-2026,4,575832,769375,2470698,0.3114,909540409
Highland Group PLC,"50 Business Park, City_149, UK",Germany,Retail & Distribution,Marine Hull,WTW London,Financial Lines,12-02-2026,0,2152292,6183310,11197593,0.5522,659909289
Atlantic Capital Partners Ltd,"89 Business Park, City_199, UK",Netherlands,Marine Shipping,Energy Offshore,WTW London,Marine,01-03-2026,0,4713096,6538460,9123009,0.7167,638020895
Redwood Holdings Ltd,"180 Business Park, City_92, UK",Netherlands,Food Processing,Energy Offshore,Lockton Companies,Marine,04-01-2026,3,1410373,1549944,9225863,0.168,728393307
Summit Engineering Ltd,"211 Business Park, City_159, UK",Germany,Retail & Distribution,Professional Indemnity,Marsh Ltd,Financial Lines,23-03-2026,2,479576,3488512,3819679,0.9133,593220376
Trinity Engineering Ltd,"197 Business Park, City_180, UK",Netherlands,Manufacturing,Industrial All Risks,Gallagher London,Financial Lines,18-03-2026,2,229422,1250154,4250780,0.2941,58231822
Redwood Engineering Ltd,"246 Business Park, City_153, UK",United Kingdom,Financial Advisory,Energy Offshore,Marsh Ltd,Casualty,24-02-2026,0,12831,161422,652214,0.2475,50701090
Oakridge Technologies Ltd,"30 Business Park, City_19, UK",United States,Food Processing,Professional Indemnity,Aon UK Ltd,Financial Lines,26-02-2026,5,1327802,3403751,4880630,0.6974,1146321371
Sterling Logistics Ltd,"25 Business Park, City_134, UK",France,Marine Shipping,General Liability,Gallagher London,Casualty,10-01-2026,3,1778137,4578778,14398676,0.318,475550019
Everest Capital Partners Ltd,"4 Business Park, City_114, UK",United States,Retail & Distribution,Products Liability,Lockton Companies,Products Liability,05-01-2026,5,94137,340345,2669379,0.1275,1418798222
Greenfield Capital Partners Ltd,"24 Business Park, City_120, UK",United States,Retail & Distribution,Professional Indemnity,Aon UK Ltd,Property Damage & BI,01-02-2026,0,62194,514732,574735,0.8956,1471246732
BlueWave Industries Ltd,"32 Business Park, City_121, UK",Germany,Construction Contractor,Marine Hull,Gallagher London,Marine,18-01-2026,0,234094,3616089,9129235,0.3961,454444203
Everest Capital Partners Ltd,"216 Business Park, City_116, UK",Singapore,Manufacturing,Marine Hull,Gallagher London,Casualty,07-03-2026,2,5503586,6927095,9137443,0.7581,134980433
Oakridge Engineering Ltd,"144 Business Park, City_40, UK",Netherlands,Manufacturing,Products Liability,BMS Group,Financial Lines,17-03-2026,6,1671174,3712606,13466109,0.2757,217951170
Redwood Foods Ltd,"146 Business Park, City_91, UK",Netherlands,Financial Advisory,Industrial All Risks,Marsh Ltd,Financial Lines,04-03-2026,1,441242,3488393,4725540,0.7382,642585379
Harbour Logistics Ltd,"102 Business Park, City_24, UK",Singapore,Oil & Gas Services,Industrial All Risks,BMS Group,Marine,17-02-2026,0,901226,1806039,6431763,0.2808,464903467
Harbour Capital Partners Ltd,"127 Business Park, City_24, UK",Netherlands,Marine Shipping,Products Liability,BMS Group,Property Damage & BI,29-01-2026,6,526900,4651872,5721861,0.813,1043343358
Atlantic Group PLC,"196 Business Park, City_33, UK",United Kingdom,Retail & Distribution,General Liability,Howden UK,Marine,11-01-2026,4,1803551,4798564,11162049,0.4299,42081307
Highland Holdings Ltd,"33 Business Park, City_156, UK",United States,Marine Shipping,Professional Indemnity,Gallagher London,Casualty,15-02-2026,5,843565,1249487,4252850,0.2938,916965327
Ironclad Group PLC,"195 Business Park, City_17, UK",Singapore,Financial Advisory,Industrial All Risks,Marsh Ltd,Casualty,18-03-2026,1,4670044,4900883,14014537,0.3497,470397900
Sterling Foods Ltd,"165 Business Park, City_45, UK",Germany,Oil & Gas Services,Energy Offshore,Lockton Companies,Products Liability,03-03-2026,4,781247,1128966,4791880,0.2356,1170619973
Oakridge Group PLC,"43 Business Park, City_139, UK",Germany,Retail & Distribution,Marine Hull,BMS Group,Products Liability,15-02-2026,4,4324999,7566901,7799321,0.9702,1240241313
Northbridge Engineering Ltd,"129 Business Park, City_21, UK",Singapore,Electronics Manufacturing,Industrial All Risks,Aon UK Ltd,Products Liability,15-02-2026,6,1700383,7815947,8379017,0.9328,147989111
Crown Foods Ltd,"150 Business Park, City_85, UK",Singapore,Food Processing,Industrial All Risks,Marsh Ltd,Energy,07-03-2026,2,6981752,7153575,14413813,0.4963,851752838
Summit Shipping Ltd,"235 Business Park, City_199, UK",Singapore,Retail & Distribution,Professional Indemnity,Aon UK Ltd,Energy,20-03-2026,3,138744,400813,7813127,0.0513,1115976570
Sterling Foods Ltd,"95 Business Park, City_124, UK",Germany,Financial Advisory,General Liability,Aon UK Ltd,Products Liability,14-03-2026,4,3195048,4780866,11318340,0.4224,1213392835
Redwood Holdings Ltd,"56 Business Park, City_143, UK",Singapore,Manufacturing,Marine Hull,WTW London,Casualty,04-03-2026,0,412654,3749279,6024875,0.6223,1437841364
Crown Energy Services Ltd,"9 Business Park, City_128, UK",United States,Food Processing,Professional Indemnity,Gallagher London,Marine,01-04-2026,3,1241158,1874954,3695219,0.5074,59295299
Atlantic Industries Ltd,"201 Business Park, City_17, UK",France,Retail & Distribution,Industrial All Risks,Gallagher London,Energy,21-01-2026,2,650847,2865928,3245672,0.883,73166614
Everest Energy Services Ltd,"18 Business Park, City_110, UK",United Kingdom,Electronics Manufacturing,General Liability,WTW London,Casualty,18-01-2026,6,16940,233553,1304770,0.179,59292365
Summit Foods Ltd,"96 Business Park, City_180, UK",France,Financial Advisory,Marine Hull,Lockton Companies,Property Damage & BI,22-02-2026,2,2041575,2214367,4642280,0.477,969513976
Sterling Holdings Ltd,"192 Business Park, City_40, UK",United States,Financial Advisory,Products Liability,Gallagher London,Marine,07-03-2026,2,8034173,8467909,10067661,0.8411,637844549
Northbridge Industries Ltd,"60 Business Park, City_92, UK",Netherlands,Oil & Gas Services,Energy Offshore,BMS Group,Energy,14-03-2026,1,1639622,2000636,2143156,0.9335,1022490586
Ironclad Shipping Ltd,"228 Business Park, City_14, UK",France,Food Processing,Energy Offshore,WTW London,Products Liability,27-02-2026,4,3543324,6196519,13663770,0.4535,18615164
Summit Energy Services Ltd,"88 Business Park, City_25, UK",France,Food Processing,Industrial All Risks,Gallagher London,Marine,06-03-2026,4,365764,741648,1554166,0.4772,516241099
Ironclad Group PLC,"160 Business Park, City_179, UK",United States,Electronics Manufacturing,General Liability,WTW London,Energy,27-03-2026,5,220670,1070353,12067114,0.0887,89491288
BlueWave Foods Ltd,"236 Business Park, City_16, UK",Singapore,Construction Contractor,General Liability,BMS Group,Products Liability,18-03-2026,1,1250664,1741391,6488046,0.2684,322242649
Oakridge Foods Ltd,"165 Business Park, City_191, UK",United States,Food Processing,Professional Indemnity,Lockton Companies,Property Damage & BI,12-02-2026,0,1140094,2483757,4517565,0.5498,1156010097
Northbridge Engineering Ltd,"170 Business Park, City_80, UK",United States,Food Processing,Marine Hull,Gallagher London,Energy,22-03-2026,1,603717,635931,7463987,0.0852,967477141
BlueWave Group PLC,"105 Business Park, City_157, UK",Singapore,Electronics Manufacturing,Industrial All Risks,Aon UK Ltd,Casualty,20-02-2026,2,4750592,10575826,14381053,0.7354,449023083
Redwood Engineering Ltd,"241 Business Park, City_151, UK",United States,Food Processing,Products Liability,BMS Group,Products Liability,23-03-2026,3,6383,471235,708519,0.6651,1129808849
Everest Industries Ltd,"114 Business Park, City_102, UK",Netherlands,Oil & Gas Services,Energy Offshore,WTW London,Property Damage & BI,03-02-2026,1,2640567,4186465,9393012,0.4457,1380830054
Highland Technologies Ltd,"205 Business Park, City_106, UK",Singapore,Construction Contractor,Energy Offshore,Howden UK,Marine,23-02-2026,2,1672780,7717263,10952688,0.7046,834655282
Sterling Energy Services Ltd,"249 Business Park, City_182, UK",Singapore,Retail & Distribution,Industrial All Risks,BMS Group,Financial Lines,09-01-2026,1,2642488,5509322,11533017,0.4777,1466926108
Silverstone Technologies Ltd,"47 Business Park, City_106, UK",Netherlands,Construction Contractor,General Liability,Lockton Companies,Energy,02-02-2026,5,1447401,5697202,13025154,0.4374,1190273013
Everest Capital Partners Ltd,"247 Business Park, City_113, UK",United States,Oil & Gas Services,Marine Hull,Howden UK,Property Damage & BI,18-03-2026,0,450990,2408504,6356571,0.3789,357425537
Sterling Holdings Ltd,"119 Business Park, City_51, UK",Singapore,Food Processing,Marine Hull,BMS Group,Financial Lines,18-02-2026,3,432777,1148174,2145720,0.5351,625251827
Northbridge Shipping Ltd,"35 Business Park, City_159, UK",France,Financial Advisory,Professional Indemnity,Aon UK Ltd,Property Damage & BI,12-01-2026,3,624573,6398396,7017325,0.9118,1150980155
Sterling Logistics Ltd,"207 Business Park, City_155, UK",Singapore,Oil & Gas Services,Professional Indemnity,Gallagher London,Energy,14-03-2026,1,804716,1467806,2779411,0.5281,1039275525
Crown Foods Ltd,"15 Business Park, City_42, UK",Netherlands,Electronics Manufacturing,Professional Indemnity,WTW London,Casualty,09-02-2026,3,363083,635439,3759999,0.169,465581395
Summit Capital Partners Ltd,"222 Business Park, City_182, UK",Netherlands,Retail & Distribution,Products Liability,BMS Group,Energy,05-01-2026,6,2036350,3925912,12226449,0.3211,264251806
Oakridge Shipping Ltd,"85 Business Park, City_196, UK",United States,Manufacturing,Products Liability,WTW London,Products Liability,17-01-2026,5,483045,3704816,13716461,0.2701,816676576
Highland Holdings Ltd,"135 Business Park, City_26, UK",France,Electronics Manufacturing,Marine Hull,Lockton Companies,Energy,09-02-2026,0,9014371,9160419,9477930,0.9665,1147625624
Silverstone Energy Services Ltd,"177 Business Park, City_171, UK",France,Manufacturing,Energy Offshore,BMS Group,Products Liability,26-02-2026,5,270439,1443479,3582725,0.4029,1195277743
Crown Logistics Ltd,"203 Business Park, City_45, UK",United States,Financial Advisory,Energy Offshore,Gallagher London,Casualty,13-03-2026,0,1616949,3276993,6788882,0.4827,1178708536
Trinity Technologies Ltd,"9 Business Park, City_70, UK",United Kingdom,Manufacturing,General Liability,WTW London,Property Damage & BI,04-02-2026,5,3151769,10154139,14849575,0.6838,888288057
Ironclad Engineering Ltd,"202 Business Park, City_18, UK",Netherlands,Financial Advisory,General Liability,Gallagher London,Casualty,05-01-2026,0,832964,1728140,8542462,0.2023,1322255099
Summit Engineering Ltd,"98 Business Park, City_80, UK",United Kingdom,Construction Contractor,General Liability,Howden UK,Products Liability,03-01-2026,0,2155765,5418893,5771534,0.9389,1294438489
Highland Technologies Ltd,"221 Business Park, City_76, UK",Germany,Financial Advisory,Marine Hull,WTW London,Casualty,27-03-2026,3,325547,5001342,11545113,0.4332,101076350
Redwood Holdings Ltd,"222 Business Park, City_8, UK",Netherlands,Manufacturing,Industrial All Risks,Lockton Companies,Energy,16-01-2026,6,55141,822583,2411560,0.3411,439168361
Harbour Engineering Ltd,"141 Business Park, City_78, UK",France,Manufacturing,Marine Hull,Aon UK Ltd,Products Liability,23-01-2026,1,2884955,6213385,14086116,0.4411,1072817205
BlueWave Logistics Ltd,"70 Business Park, City_40, UK",Germany,Oil & Gas Services,Professional Indemnity,Aon UK Ltd,Financial Lines,27-01-2026,0,601918,6945248,12433313,0.5586,541518683
Greenfield Technologies Ltd,"38 Business Park, City_68, UK",Netherlands,Marine Shipping,General Liability,WTW London,Products Liability,26-02-2026,5,6443360,8457181,9333607,0.9061,346294829
BlueWave Shipping Ltd,"152 Business Park, City_113, UK",Netherlands,Financial Advisory,Professional Indemnity,WTW London,Products Liability,23-03-2026,1,8516,352176,386922,0.9102,1195179564
Redwood Foods Ltd,"72 Business Park, City_98, UK",Singapore,Food Processing,General Liability,WTW London,Energy,15-02-2026,6,795596,2992799,7442924,0.4021,779252471
BlueWave Industries Ltd,"73 Business Park, City_103, UK",United Kingdom,Food Processing,Products Liability,BMS Group,Products Liability,15-02-2026,2,2359868,8859253,12959704,0.6836,707650470
Oakridge Holdings Ltd,"10 Business Park, City_155, UK",Germany,Oil & Gas Services,Professional Indemnity,Gallagher London,Energy,07-01-2026,0,299571,740826,6638231,0.1116,298216098
Silverstone Group PLC,"20 Business Park, City_123, UK",Germany,Construction Contractor,General Liability,Gallagher London,Financial Lines,16-02-2026,3,3130512,4944530,10770051,0.4591,1226900976
Everest Foods Ltd,"169 Business Park, City_161, UK",Netherlands,Manufacturing,General Liability,Howden UK,Marine,11-02-2026,5,1470701,2971913,5810192,0.5115,580552193
Silverstone Holdings Ltd,"237 Business Park, City_32, UK",Netherlands,Construction Contractor,Products Liability,Gallagher London,Casualty,22-03-2026,2,1546793,1666448,14255330,0.1169,263976350
